name,address,floors,neighborhood
בית אביחי,המלך ג'ורג' 44,"-3, -4, -5, -6, -7",רחביה
בית בנית,האומן 14,1,תלפיות
בית יהב,ירמיהו 80,"1, 2, 3, 4",רוממה
בניין כלל,יפו 97 /אגריפס 42,"2,3",מרכז העיר
הגן הטכנולוגי 4,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",2,מלחה
הגן הטכנולוגי בניין 1-2 בנין המגדל,אגודת הפועל 2,"ח6, ח7",מלחה
הגן הטכנולוגי בניין 5,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",2,מלחה
הגן הטכנולוגי בניינים 8-9,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים",2,מלחה
התחנה המרכזית,יפו 224,-2,רוממה
חלונות ירושלים,אגריפס 40,"-2, -3, -4, -5",מרכז העיר
חניון אוריינט,עמק רפאים 3,"-3, -4, -5",המושבה הגרמנית
חניון אורנים,כנפי נשרים 66,"1,2",גבעת שאול
חניון בית השנהב,בית הדפוס 12,-3,גבעת שאול
חניון בנייני האומה,"שדרות שז""ר 1","-5, -6, -7",קריית האומה
חניון בצלאל,"זמורה 1, ירושלים","קומות B,C,D",מרכז העיר
חניון גולדה (מובילאיי),שדרות גולדה מאיר מערבית לרח' שלמה הלוי,"-5, -6, -7",הר חוצבים
חניון דוד ילין,מעגל בית המדרש 7,"1,2,3",בית הכרם
חניון דונה,בית הדפוס 20,"-3, -4, -5, -6",גבעת שאול
חניון התיאטרון,פרופ' יעקב שסקין,"-6, -7, -8",טלביה - קוממיות
חניון טאוור 1,"כי""ח פינת יפו",,מרכז העיר
חניון יד שרה,ירמיהו 35,-3,רוממה
חניון מבקר המדינה,מבקר המדינה 2,"מרתף, 4, 5",קריית האומה
חניון מגדל הנשרים,בית הדפוס 32,"-3, -4, -5",גבעת שאול
חניון מגדלי הבירה,ירמיהו 39,"-5, -6",רוממה
חניון מוזיאון הסובלנות,הלל 33,"-3, -4",מרכז העיר
חניון ממילא,יצחק קריב 6,-5,ממילא
חניון מנורה,מנורה 3,"-4, -5",מרכז העיר
חניון משרד החינוך,דבורה הנביאה 2,"-2, -3",מרכז העיר
חניון ספרא,יפו 26 /שבטי ישראל 7,"-2, -3, -4, -5, -6",מרכז העיר
חניון צ'ילה,חניון צ'ילה 6,"3-, 4-, 5-",קריית יובל
חניון רב שפע,שמגר 16,,רוממה
חניון רג'ואן,עליאש 6,"-2,-3,-4,-5,-6,-7,-8",מרכז העיר
חניון שמאי 10,שמאי 10,מרתף 2 - (3-) מרתף 3 - (4-) מרתף 4 - (5-) מרתף 5 - (6-) מרתף 6 - (7-),מרכז העיר
חניון שמאי 21,שמאי 21,מרתף 2 בלבד,מרכז העיר
חניון שערי צדק,שְׁמוּאֵל (הנס) בַּייט 12,"-1A, 1, 0, -1, -2",בית הכרם
ירושלים זהב,רבי עקיבא 14,,מרכז העיר
לב תלפיות,האומן 17,"-3, -4",תלפיות
מאוחדת,הטורים 4,"2, 3",מקור ברוך
מגדל העיר,בן יהודה 34,,מרכז העיר
מגדלי ירושלים,רבי עקיבא 6,"1,2,3,4",מרכז העיר
מלון עץ הזית,סנט ג'ורג' 26,"-1, -2, -3",מרכז העיר
מסילת דויד,מסילת ישרים 17,"2-,3-,4-",מרכז העיר
מרחב מוריה,התנופה 17,-2,תלפיות
שוקניון,אגריפס 88,"1,2,3,4,5,6",מרכז העיר
שערי העיר,יפו 216,"-2, -3, -4, -5",מרכז העיר
